Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,,,,,,
North Park University,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,
2016-01-01 to 2016-12-31,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,
2017-03-31,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-2016,Feb-2016,Mar-2016,Apr-2016,May-2016,Jun-2016,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016
Total for all journals,,,,,,,2997,1988,1009,148,659,346,276,83,92,69,59,485,461,230,89
AACN Advanced Critical Care,American Association of Critical Care Nurses,OvidSP,,,1559-7768,1559-7776,40,27,13,0,18,2,5,0,0,0,0,12,1,2,0
AACN Clinical Issues: Advanced Practice in Acute & Critical Care,American Association of Critical Care Nurses,OvidSP,,,1079-0713,1559-7776,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ACSM'S Health & Fitness Journal,Lippincott Williams & Wilkins (LWW),OvidSP,,,1091-5397,1536-593X,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1
Advanced Emergency Nursing Journal,Lippincott Williams & Wilkins (LWW),OvidSP,,,1931-4485,N/A,27,20,7,3,1,12,1,0,3,0,0,5,1,1,0
Advances in Neonatal Care,Lippincott Williams & Wilkins (LWW),OvidSP,,,1536-0903,1536-0911,47,35,12,2,19,0,3,0,8,0,1,5,9,0,0
Advances in Nursing Science,Lippincott Williams & Wilkins (LWW),OvidSP,,,0161-9268,N/A,39,22,17,0,1,8,13,0,0,0,0,2,14,1,0
Advances in Skin & Wound Care,Lippincott Williams & Wilkins (LWW),OvidSP,,,1527-7941,N/A,25,20,5,0,1,10,0,0,0,0,0,1,0,13,0
"AJN, American Journal of Nursing",Lippincott Williams & Wilkins (LWW),OvidSP,,,0002-936X,N/A,244,172,72,7,61,42,18,4,5,11,2,47,28,14,5
Biomedical Safety & Standards,Lippincott Williams & Wilkins (LWW),OvidSP,,,1080-9775,1550-2430,6,4,2,0,0,0,0,0,0,0,0,0,3,0,3
Cancer Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0162-220X,1538-9804,23,15,8,2,7,1,1,0,1,0,0,2,9,0,0
Cardiopulmonary Physical Therapy Journal,Lippincott Williams & Wilkins (LWW),OvidSP,,,1541-7891,N/A,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"CIN: Computers, Informatics, Nursing",Lippincott Williams & Wilkins (LWW),OvidSP,,,1538-2931,1538-9774,39,19,20,5,3,1,6,6,0,0,0,0,0,18,0
Clinical Journal of Sport Medicine,Lippincott Williams & Wilkins (LWW),OvidSP,,,1050-642X,1536-3724,40,27,13,0,2,10,0,2,0,2,0,14,2,8,0
Clinical Nurse Specialist,Lippincott Williams & Wilkins (LWW),OvidSP,,,0887-6274,1538-9782,55,39,16,1,9,8,4,4,1,2,0,11,12,2,1
Critical Care Nursing Quarterly,Lippincott Williams & Wilkins (LWW),OvidSP,,,0887-9303,1550-5111,70,45,25,5,24,7,5,0,2,2,4,6,14,0,1
Current Opinion in Clinical Nutrition & Metabolic Care,Lippincott Williams & Wilkins (LWW),OvidSP,,,1363-1950,1473-6519,12,8,4,0,2,0,0,0,0,1,0,3,2,0,4
