Database,Publisher,User_Activity,2013,2014,2015,2016,2017
"Classical Scores Library, Volume 1",Alexander Street Press,Result Clicks,0,17,26,11,NA
"Classical Scores Library, Volume 1",Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
Cochrane Central Register of Controlled Trials,EBSCO,Record Views,2,18,50,21,16
Cochrane Central Register of Controlled Trials,EBSCO,Regular Searches,671,1670,3495,2884,827
Cochrane Central Register of Controlled Trials,EBSCO,Result Clicks,2,24,75,37,24
Cochrane Central Register of Controlled Trials,EBSCO,Searches-federated and automated,39,80,5230,6658,1234
Cochrane Database of Systematic Reviews,EBSCO,Record Views,105,364,887,814,314
Cochrane Database of Systematic Reviews,EBSCO,Regular Searches,1182,4264,8948,7071,2254
Cochrane Database of Systematic Reviews,EBSCO,Result Clicks,259,953,2476,2251,880
Cochrane Database of Systematic Reviews,EBSCO,Searches-federated and automated,39,80,33513,59493,16825
Cochrane Methodology Register,EBSCO,Record Views,0,0,3,0,0
Cochrane Methodology Register,EBSCO,Regular Searches,636,1394,3017,2482,583
Cochrane Methodology Register,EBSCO,Result Clicks,0,0,3,0,0
Cochrane Methodology Register,EBSCO,Searches-federated and automated,39,80,5220,6631,1233
CogPrints,EBSCO,Record Views,NA,0,0,0,0
CogPrints,EBSCO,Regular Searches,NA,0,0,0,0
CogPrints,EBSCO,Result Clicks,NA,0,2,2,0
CogPrints,EBSCO,Searches-federated and automated,NA,80,5260,6624,1230
Communication & Mass Media Complete,EBSCO,Record Views,765,1797,1654,2597,332
Communication & Mass Media Complete,EBSCO,Regular Searches,2225,5168,4976,4981,637
Communication & Mass Media Complete,EBSCO,Result Clicks,1292,3048,2657,4097,569
Communication & Mass Media Complete,EBSCO,Searches-federated and automated,39,83,28819,53626,15793
Comprehensive Database of Archaeological Site Records in Japan –全国遺跡報告総覧,EBSCO,Record Views,NA,NA,NA,0,0
Comprehensive Database of Archaeological Site Records in Japan –全国遺跡報告総覧,EBSCO,Regular Searches,NA,NA,NA,0,20
Comprehensive Database of Archaeological Site Records in Japan –全国遺跡報告総覧,EBSCO,Result Clicks,NA,NA,NA,0,0
Comprehensive Database of Archaeological Site Records in Japan –全国遺跡報告総覧,EBSCO,Searches-federated and automated,NA,NA,NA,0,0
Consumer Health Complete,EBSCO,Record Views,38,13,6,3,12
Consumer Health Complete,EBSCO,Regular Searches,50,11,12,5,10
Consumer Health Complete,EBSCO,Result Clicks,138,101,22,10,32
Consumer Health Complete,EBSCO,Searches-federated and automated,0,0,0,0,0
Consumer Health Complete - EBSCOhost,EBSCO,Record Views,86,182,215,102,20
Consumer Health Complete - EBSCOhost,EBSCO,Regular Searches,1577,2900,3306,2647,522
Consumer Health Complete - EBSCOhost,EBSCO,Result Clicks,202,451,420,237,42
Consumer Health Complete - EBSCOhost,EBSCO,Searches-federated and automated,39,83,5287,6706,1244
"Counseling and Therapy in Video, Volume 1",Alexander Street Press,Record Views,0,150,237,86,NA
"Counseling and Therapy in Video, Volume 1",Alexander Street Press,Regular Searches,0,315,155,113,NA
"Counseling and Therapy in Video, Volume 1",Alexander Street Press,Result Clicks,0,130,91,32,NA
"Counseling and Therapy in Video, Volume 1",Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
Credo Reference Collections,EBSCO,Record Views,NA,0,0,NA,NA
Credo Reference Collections,EBSCO,Regular Searches,NA,0,0,NA,NA
Credo Reference Collections,EBSCO,Result Clicks,NA,1,0,NA,NA
Credo Reference Collections,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Criminal Justice and Public Safety in Video,Alexander Street Press,Record Views,0,26,18,25,NA
Criminal Justice and Public Safety in Video,Alexander Street Press,Regular Searches,0,117,50,116,NA
Criminal Justice and Public Safety in Video,Alexander Street Press,Result Clicks,0,9,8,10,NA
Criminal Justice and Public Safety in Video,Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
CRUSH Reports,EBSCO,Record Views,NA,0,0,NA,NA
CRUSH Reports,EBSCO,Regular Searches,NA,0,0,NA,NA
CRUSH Reports,EBSCO,Result Clicks,NA,0,0,NA,NA
CRUSH Reports,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Data-Planet Statistical Datasets & Statistical Ready Reference,EBSCO,Record Views,NA,0,0,NA,NA
Data-Planet Statistical Datasets & Statistical Ready Reference,EBSCO,Regular Searches,NA,0,0,NA,NA
Data-Planet Statistical Datasets & Statistical Ready Reference,EBSCO,Result Clicks,NA,0,0,NA,NA
Data-Planet Statistical Datasets & Statistical Ready Reference,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Database of Abstracts of Reviews of Effects,EBSCO,Record Views,1,4,9,13,0
Database of Abstracts of Reviews of Effects,EBSCO,Regular Searches,653,1290,2878,2284,389
Database of Abstracts of Reviews of Effects,EBSCO,Result Clicks,2,9,24,40,0
Database of Abstracts of Reviews of Effects,EBSCO,Searches-federated and automated,39,80,5220,6630,1235
DBPIA,EBSCO,Record Views,NA,0,0,NA,NA
DBPIA,EBSCO,Regular Searches,NA,0,0,NA,NA
DBPIA,EBSCO,Result Clicks,NA,0,0,NA,NA
DBPIA,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Digital Access to Scholarship at Harvard (DASH),EBSCO,Record Views,NA,0,0,NA,NA
Digital Access to Scholarship at Harvard (DASH),EBSCO,Regular Searches,NA,0,0,NA,NA
Digital Access to Scholarship at Harvard (DASH),EBSCO,Result Clicks,NA,0,0,NA,NA
Digital Access to Scholarship at Harvard (DASH),EBSCO,Searches-federated and automated,NA,80,71,NA,NA
DigiZeitschriften,EBSCO,Record Views,NA,0,0,NA,NA
DigiZeitschriften,EBSCO,Regular Searches,NA,0,0,NA,NA
DigiZeitschriften,EBSCO,Result Clicks,NA,0,0,NA,NA
DigiZeitschriften,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Directory of Open Access Journals,EBSCO,Record Views,NA,0,11,30,182
Directory of Open Access Journals,EBSCO,Regular Searches,NA,0,0,0,0
Directory of Open Access Journals,EBSCO,Result Clicks,NA,0,18,72,246
Directory of Open Access Journals,EBSCO,Searches-federated and automated,NA,80,25542,53014,15476
Discovery eBooks,EBSCO,Record Views,NA,4,4,NA,NA
Discovery eBooks,EBSCO,Regular Searches,NA,0,0,NA,NA
Discovery eBooks,EBSCO,Result Clicks,NA,7,8,NA,NA
Discovery eBooks,EBSCO,Searches-federated and automated,NA,80,170,NA,NA
Dynamed Plus,EBSCO,Record Views,NA,NA,NA,0,0
Dynamed Plus,EBSCO,Regular Searches,NA,NA,NA,0,14
Dynamed Plus,EBSCO,Result Clicks,NA,NA,NA,0,34
Dynamed Plus,EBSCO,Searches-federated and automated,NA,NA,NA,0,0
eArticle,EBSCO,Record Views,NA,0,0,NA,NA
eArticle,EBSCO,Regular Searches,NA,0,0,NA,NA
eArticle,EBSCO,Result Clicks,NA,0,0,NA,NA
eArticle,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
EBM Reviews - ACP Journal Club,American College of Physicians,Record Views,NA,5,NA,NA,NA
EBM Reviews - ACP Journal Club,American College of Physicians,Regular Searches,NA,917,NA,NA,NA
EBM Reviews - ACP Journal Club,American College of Physicians,Result Clicks,NA,61,NA,NA,NA
EBM Reviews - ACP Journal Club,American College of Physicians,Searches-federated and automated,NA,0,NA,NA,NA
EBM Reviews - Cochrane Central Register of Controlled Trials,Wiley,Record Views,NA,251,NA,NA,NA
EBM Reviews - Cochrane Central Register of Controlled Trials,Wiley,Regular Searches,NA,917,NA,NA,NA
EBM Reviews - Cochrane Central Register of Controlled Trials,Wiley,Result Clicks,NA,1028,NA,NA,NA
EBM Reviews - Cochrane Central Register of Controlled Trials,Wiley,Searches-federated and automated,NA,0,NA,NA,NA
EBM Reviews - Cochrane Database of Systematic Reviews,Wiley,Record Views,NA,334,NA,NA,NA
EBM Reviews - Cochrane Database of Systematic Reviews,Wiley,Regular Searches,NA,1011,NA,NA,NA
EBM Reviews - Cochrane Database of Systematic Reviews,Wiley,Result Clicks,NA,1287,NA,NA,NA
EBM Reviews - Cochrane Database of Systematic Reviews,Wiley,Searches-federated and automated,NA,0,NA,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,Record Views,NA,3,NA,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,Regular Searches,NA,917,NA,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,Result Clicks,NA,24,NA,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,Searches-federated and automated,NA,0,NA,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,Record Views,NA,58,NA,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,Regular Searches,NA,919,NA,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,Result Clicks,NA,429,NA,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,Searches-federated and automated,NA,0,NA,NA,NA
EBM Reviews - Health Technology Assessment,Wiley,Record Views,NA,2,NA,NA,NA
EBM Reviews - Health Technology Assessment,Wiley,Regular Searches,NA,916,NA,NA,NA
EBM Reviews - Health Technology Assessment,Wiley,Result Clicks,NA,16,NA,NA,NA
EBM Reviews - Health Technology Assessment,Wiley,Searches-federated and automated,NA,0,NA,NA,NA
EBM Reviews - NHS Economic Evaluation Database,Wiley,Record Views,NA,5,NA,NA,NA
EBM Reviews - NHS Economic Evaluation Database,Wiley,Regular Searches,NA,916,NA,NA,NA
EBM Reviews - NHS Economic Evaluation Database,Wiley,Result Clicks,NA,12,NA,NA,NA
EBM Reviews - NHS Economic Evaluation Database,Wiley,Searches-federated and automated,NA,0,NA,NA,NA
eBook Collection (EBSCOhost),EBSCO,Record Views,740,1667,2460,2079,363
eBook Collection (EBSCOhost),EBSCO,Regular Searches,3004,2675,3391,2984,663
eBook Collection (EBSCOhost),EBSCO,Result Clicks,1218,2840,4323,3938,663
eBook Collection (EBSCOhost),EBSCO,Searches-federated and automated,39,83,5294,6692,1247
EBSCO eClassics Collection (EBSCOhost),EBSCO,Record Views,NA,NA,NA,0,0
EBSCO eClassics Collection (EBSCOhost),EBSCO,Regular Searches,NA,NA,NA,216,0
EBSCO eClassics Collection (EBSCOhost),EBSCO,Result Clicks,NA,NA,NA,0,0
EBSCO eClassics Collection (EBSCOhost),EBSCO,Searches-federated and automated,NA,NA,NA,0,0
ECONIS,EBSCO,Record Views,NA,1,0,NA,NA
ECONIS,EBSCO,Regular Searches,NA,0,0,NA,NA
ECONIS,EBSCO,Result Clicks,NA,1,0,NA,NA
