Database,Publisher,User_Activity,FY 2014,FY 2015,FY 2016,FY 2017
Education Research Complete,EBSCO,Regular Searches,5578,6919,5485,2852
Education Research Complete,EBSCO,Result Clicks,5497,5700,7415,4515
Education Research Complete,EBSCO,Searches-federated and automated,42,4277,50722,43693
Encyclopedia of the Bible and its Reception Online,EBSCO,Record Views,NA,NA,0,0
Encyclopedia of the Bible and its Reception Online,EBSCO,Regular Searches,NA,NA,0,0
Encyclopedia of the Bible and its Reception Online,EBSCO,Result Clicks,NA,NA,0,0
Encyclopedia of the Bible and its Reception Online,EBSCO,Searches-federated and automated,NA,NA,0,4724
Energy Citations Database,EBSCO,Record Views,NA,0,0,0
Energy Citations Database,EBSCO,Regular Searches,NA,0,0,0
Energy Citations Database,EBSCO,Result Clicks,NA,0,0,3
Energy Citations Database,EBSCO,Searches-federated and automated,NA,1902,6071,5165
Environment Complete,EBSCO,Record Views,1101,667,1119,695
Environment Complete,EBSCO,Regular Searches,3956,3673,3225,1703
Environment Complete,EBSCO,Result Clicks,1755,1089,1718,1120
Environment Complete,EBSCO,Searches-federated and automated,42,4258,50557,43560
ERIC,EBSCO,Record Views,1302,840,1548,681
ERIC,EBSCO,Regular Searches,4066,4629,3567,1740
ERIC,EBSCO,Result Clicks,2142,1284,2334,1008
ERIC,EBSCO,Searches-federated and automated,42,2471,43983,38049
Erudit,EBSCO,Record Views,NA,0,0,NA
Erudit,EBSCO,Regular Searches,NA,0,0,NA
Erudit,EBSCO,Result Clicks,NA,0,0,NA
Erudit,EBSCO,Searches-federated and automated,NA,151,0,NA
Expanded Academic ASAP,EBSCO,Record Views,NA,0,0,NA
Expanded Academic ASAP,EBSCO,Regular Searches,NA,0,0,NA
Expanded Academic ASAP,EBSCO,Result Clicks,NA,2,0,NA
Expanded Academic ASAP,EBSCO,Searches-federated and automated,NA,152,0,NA
Films on Demand,EBSCO,Record Views,NA,5,0,NA
Films on Demand,EBSCO,Regular Searches,NA,0,0,NA
Films on Demand,EBSCO,Result Clicks,NA,28,0,NA
Films on Demand,EBSCO,Searches-federated and automated,NA,116,0,NA
Freedonia Focus Reports,EBSCO,Record Views,NA,0,0,NA
Freedonia Focus Reports,EBSCO,Regular Searches,NA,0,0,NA
Freedonia Focus Reports,EBSCO,Result Clicks,NA,0,0,NA
Freedonia Focus Reports,EBSCO,Searches-federated and automated,NA,149,0,NA
Funk & Wagnalls New World Encyclopedia,EBSCO,Record Views,3,24,8,6
Funk & Wagnalls New World Encyclopedia,EBSCO,Regular Searches,2133,2843,2233,1271
Funk & Wagnalls New World Encyclopedia,EBSCO,Result Clicks,7,47,21,18
Funk & Wagnalls New World Encyclopedia,EBSCO,Searches-federated and automated,42,248,4,0
Gale Consolidated DB 2,EBSCO,Record Views,NA,NA,0,0
Gale Consolidated DB 2,EBSCO,Regular Searches,NA,NA,0,0
Gale Consolidated DB 2,EBSCO,Result Clicks,NA,NA,0,0
Gale Consolidated DB 2,EBSCO,Searches-federated and automated,NA,NA,0,54
Gale Virtual Reference Library,EBSCO,Record Views,NA,25,138,73
Gale Virtual Reference Library,EBSCO,Regular Searches,NA,0,0,0
Gale Virtual Reference Library,EBSCO,Result Clicks,NA,57,204,124
Gale Virtual Reference Library,EBSCO,Searches-federated and automated,NA,1917,6137,5190
Garland Encyclopedia of World Music,Alexander Street Press,Record Views,0,7,8,0
Garland Encyclopedia of World Music,Alexander Street Press,Regular Searches,0,18,101,11
Garland Encyclopedia of World Music,Alexander Street Press,Result Clicks,0,4,5,0
Garland Encyclopedia of World Music,Alexander Street Press,Searches-federated and automated,0,0,0,0
General OneFile,EBSCO,Record Views,NA,0,0,NA
General OneFile,EBSCO,Regular Searches,NA,0,0,NA
General OneFile,EBSCO,Result Clicks,NA,3,0,NA
General OneFile,EBSCO,Searches-federated and automated,NA,152,0,NA
General Reference Center Gold,EBSCO,Record Views,NA,0,0,NA
General Reference Center Gold,EBSCO,Regular Searches,NA,0,0,NA
General Reference Center Gold,EBSCO,Result Clicks,NA,0,0,NA
General Reference Center Gold,EBSCO,Searches-federated and automated,NA,151,0,NA
Gigaom Research,EBSCO,Record Views,NA,0,0,NA
Gigaom Research,EBSCO,Regular Searches,NA,0,0,NA
Gigaom Research,EBSCO,Result Clicks,NA,0,0,NA
Gigaom Research,EBSCO,Searches-federated and automated,NA,149,0,NA
Government Printing Office Catalog,EBSCO,Record Views,NA,0,0,NA
Government Printing Office Catalog,EBSCO,Regular Searches,NA,0,0,NA
Government Printing Office Catalog,EBSCO,Result Clicks,NA,0,0,NA
Government Printing Office Catalog,EBSCO,Searches-federated and automated,NA,151,0,NA
GreenFILE,EBSCO,Record Views,5,4,0,0
GreenFILE,EBSCO,Regular Searches,2187,2867,2239,1260
GreenFILE,EBSCO,Result Clicks,5,6,0,0
GreenFILE,EBSCO,Searches-federated and automated,42,1915,6126,5223
Grove Art Online,EBSCO,Record Views,NA,0,0,NA
Grove Art Online,EBSCO,Regular Searches,NA,0,0,NA
Grove Art Online,EBSCO,Result Clicks,NA,0,0,NA
Grove Art Online,EBSCO,Searches-federated and automated,NA,149,0,NA
Grove Music Online,EBSCO,Record Views,NA,0,0,NA
Grove Music Online,EBSCO,Regular Searches,NA,0,0,NA
Grove Music Online,EBSCO,Result Clicks,NA,0,0,NA
Grove Music Online,EBSCO,Searches-federated and automated,NA,149,0,NA
Harvard Library Bibliographic Dataset,EBSCO,Record Views,NA,6,0,NA
Harvard Library Bibliographic Dataset,EBSCO,Regular Searches,NA,0,0,NA
Harvard Library Bibliographic Dataset,EBSCO,Result Clicks,NA,13,0,NA
Harvard Library Bibliographic Dataset,EBSCO,Searches-federated and automated,NA,151,0,NA
Health & Wellness Resource Center,EBSCO,Record Views,NA,0,0,NA
Health & Wellness Resource Center,EBSCO,Regular Searches,NA,0,0,NA
Health & Wellness Resource Center,EBSCO,Result Clicks,NA,0,0,NA
Health & Wellness Resource Center,EBSCO,Searches-federated and automated,NA,149,0,NA
Health Business Elite,EBSCO,Record Views,NA,237,664,400
Health Business Elite,EBSCO,Regular Searches,NA,1188,2840,1903
Health Business Elite,EBSCO,Result Clicks,NA,411,1267,777
Health Business Elite,EBSCO,Searches-federated and automated,NA,1218,6182,5272
Health News,EBSCO,Record Views,1,3,0,0
Health News,EBSCO,Regular Searches,6059,11832,8880,7137
Health News,EBSCO,Result Clicks,26,31,16,12
Health News,EBSCO,Searches-federated and automated,0,149,0,0
Health Source - Consumer Edition,EBSCO,Record Views,29,25,130,182
Health Source - Consumer Edition,EBSCO,Regular Searches,2819,4555,2904,1796
Health Source - Consumer Edition,EBSCO,Result Clicks,77,71,282,397
Health Source - Consumer Edition,EBSCO,Searches-federated and automated,42,4245,50154,43243
Health Source: Nursing/Academic Edition,EBSCO,Record Views,712,2080,2188,689
Health Source: Nursing/Academic Edition,EBSCO,Regular Searches,4173,8695,6348,3281
Health Source: Nursing/Academic Edition,EBSCO,Result Clicks,1313,3767,3579,1290
Health Source: Nursing/Academic Edition,EBSCO,Searches-federated and automated,42,4262,50581,43584
Health Technology Assessments,EBSCO,Record Views,1,4,1,2
Health Technology Assessments,EBSCO,Regular Searches,864,3769,2570,1523
Health Technology Assessments,EBSCO,Result Clicks,4,9,2,4
Health Technology Assessments,EBSCO,Searches-federated and automated,39,1900,6064,5205
HeinOnline,EBSCO,Record Views,NA,0,0,NA
HeinOnline,EBSCO,Regular Searches,NA,0,0,NA
HeinOnline,EBSCO,Result Clicks,NA,0,0,NA
HeinOnline,EBSCO,Searches-federated and automated,NA,149,0,NA
Henry Stewart Talks,EBSCO,Record Views,NA,0,0,NA
Henry Stewart Talks,EBSCO,Regular Searches,NA,0,0,NA
Henry Stewart Talks,EBSCO,Result Clicks,NA,0,0,NA
Henry Stewart Talks,EBSCO,Searches-federated and automated,NA,149,0,NA
History Reference Center,EBSCO,Record Views,17,NA,NA,NA
History Reference Center,EBSCO,Regular Searches,591,NA,NA,NA
History Reference Center,EBSCO,Result Clicks,46,NA,NA,NA
History Reference Center,EBSCO,Searches-federated and automated,0,NA,NA,NA
Hoover's Company Profiles,EBSCO,Record Views,NA,0,0,NA
Hoover's Company Profiles,EBSCO,Regular Searches,NA,0,0,NA
Hoover's Company Profiles,EBSCO,Result Clicks,NA,0,0,NA
Hoover's Company Profiles,EBSCO,Searches-federated and automated,NA,149,0,NA
HyRead Journal,EBSCO,Record Views,NA,0,0,NA
HyRead Journal,EBSCO,Regular Searches,NA,0,0,NA
HyRead Journal,EBSCO,Result Clicks,NA,0,0,NA
HyRead Journal,EBSCO,Searches-federated and automated,NA,151,0,NA
Ibuk.pl,EBSCO,Record Views,NA,0,0,NA
Ibuk.pl,EBSCO,Regular Searches,NA,0,0,NA
Ibuk.pl,EBSCO,Result Clicks,NA,0,0,NA
Ibuk.pl,EBSCO,Searches-federated and automated,NA,149,0,NA
IndianJournals.com,EBSCO,Record Views,NA,0,0,NA
IndianJournals.com,EBSCO,Regular Searches,NA,0,0,NA
IndianJournals.com,EBSCO,Result Clicks,NA,0,0,NA
IndianJournals.com,EBSCO,Searches-federated and automated,NA,149,0,NA
Industry Studies Working Papers,EBSCO,Record Views,NA,0,0,NA
Industry Studies Working Papers,EBSCO,Regular Searches,NA,0,0,NA
Industry Studies Working Papers,EBSCO,Result Clicks,NA,0,0,NA
Industry Studies Working Papers,EBSCO,Searches-federated and automated,NA,149,0,NA
Informit Business Collection,EBSCO,Record Views,NA,0,0,NA
Informit Business Collection,EBSCO,Regular Searches,NA,0,0,NA
Informit Business Collection,EBSCO,Result Clicks,NA,0,0,NA
Informit Business Collection,EBSCO,Searches-federated and automated,NA,149,0,NA
Informit Engineering Collection,EBSCO,Record Views,NA,0,0,NA
Informit Engineering Collection,EBSCO,Regular Searches,NA,0,0,NA
Informit Engineering Collection,EBSCO,Result Clicks,NA,0,0,NA
Informit Engineering Collection,EBSCO,Searches-federated and automated,NA,151,0,NA
Informit Health Collection,EBSCO,Record Views,NA,0,0,NA
Informit Health Collection,EBSCO,Regular Searches,NA,0,0,NA
Informit Health Collection,EBSCO,Result Clicks,NA,0,0,NA
Informit Health Collection,EBSCO,Searches-federated and automated,NA,151,0,NA
Informit Humanities & Social Sciences Collection,EBSCO,Record Views,NA,0,0,NA
Informit Humanities & Social Sciences Collection,EBSCO,Regular Searches,NA,0,0,NA
Informit Humanities & Social Sciences Collection,EBSCO,Result Clicks,NA,0,0,NA
Informit Humanities & Social Sciences Collection,EBSCO,Searches-federated and automated,NA,151,0,NA
Informit Indigenous Collection,EBSCO,Record Views,NA,0,0,NA
Informit Indigenous Collection,EBSCO,Regular Searches,NA,0,0,NA
Informit Indigenous Collection,EBSCO,Result Clicks,NA,0,0,NA
Informit Indigenous Collection,EBSCO,Searches-federated and automated,NA,151,0,NA
Informit Literature & Culture Collection,EBSCO,Record Views,NA,0,0,NA
Informit Literature & Culture Collection,EBSCO,Regular Searches,NA,0,0,NA
Informit Literature & Culture Collection,EBSCO,Result Clicks,NA,0,0,NA
Informit Literature & Culture Collection,EBSCO,Searches-federated and automated,NA,151,0,NA
InfoTrac Computer Database,EBSCO,Record Views,NA,0,0,NA
InfoTrac Computer Database,EBSCO,Regular Searches,NA,0,0,NA
InfoTrac Computer Database,EBSCO,Result Clicks,NA,0,0,NA
InfoTrac Computer Database,EBSCO,Searches-federated and automated,NA,151,0,NA
InfoTrac Health Reference Center Academic,EBSCO,Record Views,NA,0,0,NA
InfoTrac Health Reference Center Academic,EBSCO,Regular Searches,NA,0,0,NA
InfoTrac Health Reference Center Academic,EBSCO,Result Clicks,NA,0,0,NA
InfoTrac Health Reference Center Academic,EBSCO,Searches-federated and automated,NA,151,0,NA
InfoTrac Informe!,EBSCO,Record Views,NA,0,0,NA
InfoTrac Informe!,EBSCO,Regular Searches,NA,0,0,NA
InfoTrac Informe!,EBSCO,Result Clicks,NA,0,0,NA
InfoTrac Informe!,EBSCO,Searches-federated and automated,NA,151,0,NA
InfoTrac Junior Edition,EBSCO,Record Views,NA,0,0,NA
InfoTrac Junior Edition,EBSCO,Regular Searches,NA,0,0,NA
InfoTrac Junior Edition,EBSCO,Result Clicks,NA,0,0,NA
InfoTrac Junior Edition,EBSCO,Searches-federated and automated,NA,152,0,NA
InfoTrac LegalTrac,EBSCO,Record Views,NA,0,0,NA
InfoTrac LegalTrac,EBSCO,Regular Searches,NA,0,0,NA
InfoTrac LegalTrac,EBSCO,Result Clicks,NA,0,0,NA
InfoTrac LegalTrac,EBSCO,Searches-federated and automated,NA,151,0,NA
InfoTrac Newsstand,EBSCO,Record Views,NA,0,0,NA
InfoTrac Newsstand,EBSCO,Regular Searches,NA,0,0,NA
InfoTrac Newsstand,EBSCO,Result Clicks,NA,3,0,NA
InfoTrac Newsstand,EBSCO,Searches-federated and automated,NA,151,0,NA
InfoTrac Student Edition,EBSCO,Record Views,NA,0,0,NA
InfoTrac Student Edition,EBSCO,Regular Searches,NA,0,0,NA
InfoTrac Student Edition,EBSCO,Result Clicks,NA,0,0,NA
InfoTrac Student Edition,EBSCO,Searches-federated and automated,NA,152,0,NA
J-STAGE,EBSCO,Record Views,NA,0,0,NA
J-STAGE,EBSCO,Regular Searches,NA,0,0,NA
J-STAGE,EBSCO,Result Clicks,NA,0,0,NA
J-STAGE,EBSCO,Searches-federated and automated,NA,151,0,NA
"Jane's Chemical, Biological, Radiological & Nuclear Assessments (JCBRN) - Intelligence Centre",EBSCO,Record Views,NA,0,0,NA
"Jane's Chemical, Biological, Radiological & Nuclear Assessments (JCBRN) - Intelligence Centre",EBSCO,Regular Searches,NA,0,0,NA
"Jane's Chemical, Biological, Radiological & Nuclear Assessments (JCBRN) - Intelligence Centre",EBSCO,Result Clicks,NA,0,0,NA
"Jane's Chemical, Biological, Radiological & Nuclear Assessments (JCBRN) - Intelligence Centre",EBSCO,Searches-federated and automated,NA,149,0,NA
Jane's Defence Equipment & Technology (JDET) - Air & Space,EBSCO,Record Views,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) - Air & Space,EBSCO,Regular Searches,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) - Air & Space,EBSCO,Result Clicks,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) - Air & Space,EBSCO,Searches-federated and automated,NA,149,0,NA
Jane's Defence Equipment & Technology (JDET) - C4ISR & Mission Systems,EBSCO,Record Views,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) - C4ISR & Mission Systems,EBSCO,Regular Searches,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) - C4ISR & Mission Systems,EBSCO,Result Clicks,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) - C4ISR & Mission Systems,EBSCO,Searches-federated and automated,NA,149,0,NA
Jane's Defence Equipment & Technology (JDET) - News,EBSCO,Record Views,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) - News,EBSCO,Regular Searches,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) - News,EBSCO,Result Clicks,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) - News,EBSCO,Searches-federated and automated,NA,69,0,NA
Jane's Defence Equipment & Technology (JDET) – Land,EBSCO,Record Views,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) – Land,EBSCO,Regular Searches,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) – Land,EBSCO,Result Clicks,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) – Land,EBSCO,Searches-federated and automated,NA,149,0,NA
Jane's Defence Equipment & Technology (JDET) – News,EBSCO,Record Views,NA,0,NA,NA
Jane's Defence Equipment & Technology (JDET) – News,EBSCO,Regular Searches,NA,0,NA,NA
Jane's Defence Equipment & Technology (JDET) – News,EBSCO,Result Clicks,NA,0,NA,NA
Jane's Defence Equipment & Technology (JDET) – News,EBSCO,Searches-federated and automated,NA,80,NA,NA
Jane's Defence Equipment & Technology (JDET) – Sea,EBSCO,Record Views,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) – Sea,EBSCO,Regular Searches,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) – Sea,EBSCO,Result Clicks,NA,0,0,NA
Jane's Defence Equipment & Technology (JDET) – Sea,EBSCO,Searches-federated and automated,NA,149,0,NA
Jane's Defence Industry & Markets (JDIM) - Defense Industry,EBSCO,Record Views,NA,0,0,NA
Jane's Defence Industry & Markets (JDIM) - Defense Industry,EBSCO,Regular Searches,NA,0,0,NA
Jane's Defence Industry & Markets (JDIM) - Defense Industry,EBSCO,Result Clicks,NA,0,0,NA
Jane's Defence Industry & Markets (JDIM) - Defense Industry,EBSCO,Searches-federated and automated,NA,149,0,NA
Jane's Military & Security Assessments (JMSA) - Country Risk,EBSCO,Record Views,NA,0,0,NA
Jane's Military & Security Assessments (JMSA) - Country Risk,EBSCO,Regular Searches,NA,0,0,NA
Jane's Military & Security Assessments (JMSA) - Country Risk,EBSCO,Result Clicks,NA,0,0,NA
Jane's Military & Security Assessments (JMSA) - Country Risk,EBSCO,Searches-federated and automated,NA,149,0,NA
Jane's Military & Security Assessments (JMSA) - Military Capabilities,EBSCO,Record Views,NA,0,0,NA
Jane's Military & Security Assessments (JMSA) - Military Capabilities,EBSCO,Regular Searches,NA,0,0,NA
Jane's Military & Security Assessments (JMSA) - Military Capabilities,EBSCO,Result Clicks,NA,0,0,NA
Jane's Military & Security Assessments (JMSA) - Military Capabilities,EBSCO,Searches-federated and automated,NA,149,0,NA
Jane's Military & Security Assessments (JMSA) – News,EBSCO,Record Views,NA,0,0,NA
Jane's Military & Security Assessments (JMSA) – News,EBSCO,Regular Searches,NA,0,0,NA
Jane's Military & Security Assessments (JMSA) – News,EBSCO,Result Clicks,NA,0,0,NA
Jane's Military & Security Assessments (JMSA) – News,EBSCO,Searches-federated and automated,NA,150,0,NA
Jane’s Terrorism & Insurgency Centre (JTIC) - Terrorism Events,EBSCO,Record Views,NA,0,0,NA
Jane’s Terrorism & Insurgency Centre (JTIC) - Terrorism Events,EBSCO,Regular Searches,NA,0,0,NA
Jane’s Terrorism & Insurgency Centre (JTIC) - Terrorism Events,EBSCO,Result Clicks,NA,0,0,NA
Jane’s Terrorism & Insurgency Centre (JTIC) - Terrorism Events,EBSCO,Searches-federated and automated,NA,150,0,NA
Japanese Periodical Index - 雑誌記事索引,EBSCO,Record Views,NA,0,0,NA
Japanese Periodical Index - 雑誌記事索引,EBSCO,Regular Searches,NA,0,0,NA
Japanese Periodical Index - 雑誌記事索引,EBSCO,Result Clicks,NA,0,0,NA
Japanese Periodical Index - 雑誌記事索引,EBSCO,Searches-federated and automated,NA,149,0,NA
JoVE Science Education Database,EBSCO,Record Views,NA,NA,0,0
JoVE Science Education Database,EBSCO,Regular Searches,NA,NA,2,0
JoVE Science Education Database,EBSCO,Result Clicks,NA,NA,0,0
JoVE Science Education Database,EBSCO,Searches-federated and automated,NA,NA,0,0
JSTOR,NA,Record Views,NA,734,484,188
JSTOR,NA,Regular Searches,NA,7066,12940,5977
JSTOR,NA,Result Clicks,NA,5771,9901,4498
JSTOR,NA,Searches - federated and automated,NA,541,858,138
JSTOR 19th Century British Pamphlets,EBSCO,Record Views,NA,0,2,0
JSTOR 19th Century British Pamphlets,EBSCO,Regular Searches,NA,0,0,0
JSTOR 19th Century British Pamphlets,EBSCO,Result Clicks,NA,0,4,0
JSTOR 19th Century British Pamphlets,EBSCO,Searches-federated and automated,NA,1904,6118,5160
JSTOR Journals,EBSCO,Record Views,NA,29,563,574
JSTOR Journals,EBSCO,Regular Searches,NA,0,0,0
JSTOR Journals,EBSCO,Result Clicks,NA,85,1057,1101
JSTOR Journals,EBSCO,Searches-federated and automated,NA,4229,50063,43279
Korean Studies Information Service System (KISS),EBSCO,Record Views,NA,0,0,NA
Korean Studies Information Service System (KISS),EBSCO,Regular Searches,NA,0,0,NA
Korean Studies Information Service System (KISS),EBSCO,Result Clicks,NA,0,0,NA
Korean Studies Information Service System (KISS),EBSCO,Searches-federated and automated,NA,151,0,NA
KyoboScholar,EBSCO,Record Views,NA,0,0,NA
KyoboScholar,EBSCO,Regular Searches,NA,0,0,NA
KyoboScholar,EBSCO,Result Clicks,NA,0,0,NA
KyoboScholar,EBSCO,Searches-federated and automated,NA,150,0,NA
Lan Publishing,EBSCO,Record Views,NA,0,0,NA
Lan Publishing,EBSCO,Regular Searches,NA,0,0,NA
Lan Publishing,EBSCO,Result Clicks,NA,0,0,NA
Lan Publishing,EBSCO,Searches-federated and automated,NA,149,0,NA
LDBO consolidated build,EBSCO,Record Views,NA,NA,0,0
LDBO consolidated build,EBSCO,Regular Searches,NA,NA,0,0
LDBO consolidated build,EBSCO,Result Clicks,NA,NA,0,0
LDBO consolidated build,EBSCO,Searches-federated and automated,NA,NA,0,54
LexisNexis Academic: Law Reviews,EBSCO,Record Views,NA,9,213,243
LexisNexis Academic: Law Reviews,EBSCO,Regular Searches,NA,0,0,0
LexisNexis Academic: Law Reviews,EBSCO,Result Clicks,NA,21,386,409
LexisNexis Academic: Law Reviews,EBSCO,Searches-federated and automated,NA,2465,43628,37772
LexisNexis U.S. Serial Set Digital Collection,EBSCO,Record Views,NA,0,0,NA
LexisNexis U.S. Serial Set Digital Collection,EBSCO,Regular Searches,NA,0,0,NA
LexisNexis U.S. Serial Set Digital Collection,EBSCO,Result Clicks,NA,0,0,NA
LexisNexis U.S. Serial Set Digital Collection,EBSCO,Searches-federated and automated,NA,151,0,NA
"Library, Information Science & Technology Abstracts",EBSCO,Record Views,NA,256,355,373
"Library, Information Science & Technology Abstracts",EBSCO,Regular Searches,NA,3199,2468,1430
"Library, Information Science & Technology Abstracts",EBSCO,Result Clicks,NA,434,552,511
"Library, Information Science & Technology Abstracts",EBSCO,Searches-federated and automated,NA,4239,50075,43273
Literary Reference Center,EBSCO,Record Views,1112,772,850,599
Literary Reference Center,EBSCO,Regular Searches,3695,4026,3157,1816
Literary Reference Center,EBSCO,Result Clicks,2163,1432,1590,1197
Literary Reference Center,EBSCO,Searches-federated and automated,42,1932,6190,5280
Literature Resource Center,EBSCO,Record Views,NA,2,0,NA
Literature Resource Center,EBSCO,Regular Searches,NA,0,0,NA
Literature Resource Center,EBSCO,Result Clicks,NA,9,0,NA
Literature Resource Center,EBSCO,Searches-federated and automated,NA,153,0,NA
LUNA Commons,EBSCO,Record Views,NA,0,0,NA
LUNA Commons,EBSCO,Regular Searches,NA,0,0,NA
LUNA Commons,EBSCO,Result Clicks,NA,0,0,NA
LUNA Commons,EBSCO,Searches-federated and automated,NA,149,0,NA
Manuscriptorium Digital Library,EBSCO,Record Views,NA,0,0,NA
Manuscriptorium Digital Library,EBSCO,Regular Searches,NA,0,0,NA
Manuscriptorium Digital Library,EBSCO,Result Clicks,NA,0,0,NA
Manuscriptorium Digital Library,EBSCO,Searches-federated and automated,NA,151,0,NA
Marquis Biographies Online,EBSCO,Record Views,NA,0,0,NA
Marquis Biographies Online,EBSCO,Regular Searches,NA,0,0,NA
Marquis Biographies Online,EBSCO,Result Clicks,NA,0,0,NA
Marquis Biographies Online,EBSCO,Searches-federated and automated,NA,149,0,NA
Maruzen eBook Library,EBSCO,Record Views,NA,0,0,NA
Maruzen eBook Library,EBSCO,Regular Searches,NA,0,0,NA
Maruzen eBook Library,EBSCO,Result Clicks,NA,0,0,NA
Maruzen eBook Library,EBSCO,Searches-federated and automated,NA,149,0,NA
MAS Ultra - School Edition,EBSCO,Record Views,19,5,24,16
MAS Ultra - School Edition,EBSCO,Regular Searches,2127,2844,2238,1264
MAS Ultra - School Edition,EBSCO,Result Clicks,42,13,46,29
MAS Ultra - School Edition,EBSCO,Searches-federated and automated,42,1937,6180,5266
MasterFILE Premier,EBSCO,Record Views,125,146,545,284
MasterFILE Premier,EBSCO,Regular Searches,2307,2877,2303,1294
MasterFILE Premier,EBSCO,Result Clicks,291,311,1142,622
MasterFILE Premier,EBSCO,Searches-federated and automated,42,1946,6216,5304
Media Archive,EBSCO,Record Views,NA,0,0,NA
Media Archive,EBSCO,Regular Searches,NA,0,0,NA
Media Archive,EBSCO,Result Clicks,NA,0,0,NA
Media Archive,EBSCO,Searches-federated and automated,NA,149,0,NA
MEDLINE,EBSCO,Record Views,6162,7105,2664,1243
MEDLINE,EBSCO,Regular Searches,14770,18157,6681,2918
MEDLINE,EBSCO,Result Clicks,12604,13519,4552,2432
MEDLINE,EBSCO,Searches-federated and automated,42,2476,44092,38112
MEDLINE Complete,EBSCO,Record Views,NA,NA,3,4277
MEDLINE Complete,EBSCO,Regular Searches,NA,NA,32,8326
MEDLINE Complete,EBSCO,Result Clicks,NA,NA,12,7540
MEDLINE Complete,EBSCO,Searches-federated and automated,NA,NA,0,0
MEDLINE with Full Text,EBSCO,Record Views,NA,0,5972,354
MEDLINE with Full Text,EBSCO,Regular Searches,NA,0,10382,536
MEDLINE with Full Text,EBSCO,Result Clicks,NA,0,11258,689
MEDLINE with Full Text,EBSCO,Searches-federated and automated,NA,0,49702,8294
Mergent Annual Reports Collection,EBSCO,Record Views,NA,0,0,1
Mergent Annual Reports Collection,EBSCO,Regular Searches,NA,0,0,0
Mergent Annual Reports Collection,EBSCO,Result Clicks,NA,0,0,3
Mergent Annual Reports Collection,EBSCO,Searches-federated and automated,NA,1900,6060,4136
Mergent Online,EBSCO,Record Views,NA,NA,0,0
Mergent Online,EBSCO,Regular Searches,NA,NA,0,0
Mergent Online,EBSCO,Result Clicks,NA,NA,0,0
Mergent Online,EBSCO,Searches-federated and automated,NA,NA,0,1064
Military & Government Collection,EBSCO,Record Views,32,18,14,1
Military & Government Collection,EBSCO,Regular Searches,2156,2968,2250,1230
Military & Government Collection,EBSCO,Result Clicks,67,31,30,2
Military & Government Collection,EBSCO,Searches-federated and automated,42,1939,6186,5278
Minority Health Archive,EBSCO,Record Views,NA,0,0,NA
Minority Health Archive,EBSCO,Regular Searches,NA,0,0,NA
Minority Health Archive,EBSCO,Result Clicks,NA,0,0,NA
Minority Health Archive,EBSCO,Searches-federated and automated,NA,149,0,NA
Mintel Oxygen Reports,EBSCO,Record Views,NA,0,0,NA
Mintel Oxygen Reports,EBSCO,Regular Searches,NA,0,0,NA
Mintel Oxygen Reports,EBSCO,Result Clicks,NA,0,0,NA
Mintel Oxygen Reports,EBSCO,Searches-federated and automated,NA,149,0,NA
MLA Directory of Periodicals,EBSCO,Record Views,0,1,2,0
MLA Directory of Periodicals,EBSCO,Regular Searches,2165,2845,2249,1278
MLA Directory of Periodicals,EBSCO,Result Clicks,0,2,4,0
MLA Directory of Periodicals,EBSCO,Searches-federated and automated,42,4214,49697,42971
MLA International Bibliography,EBSCO,Record Views,445,443,845,326
MLA International Bibliography,EBSCO,Regular Searches,3203,3706,2973,1438
MLA International Bibliography,EBSCO,Result Clicks,713,688,1442,547
MLA International Bibliography,EBSCO,Searches-federated and automated,42,4223,49912,43208
Music Online: Opera in Video,Alexander Street Press,Record Views,NA,NA,0,15
Music Online: Opera in Video,Alexander Street Press,Regular Searches,NA,NA,0,146
Music Online: Opera in Video,Alexander Street Press,Result Clicks,NA,NA,0,5
Music Online: Opera in Video,Alexander Street Press,Searches-federated and automated,NA,NA,0,0
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Record Views,NA,NA,0,3
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Regular Searches,NA,NA,0,20
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Result Clicks,NA,NA,0,1
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Searches-federated and automated,NA,NA,0,0
Naxos Music Library,EBSCO,Record Views,NA,2,24,9
Naxos Music Library,EBSCO,Regular Searches,NA,0,0,0
Naxos Music Library,EBSCO,Result Clicks,NA,4,33,21
Naxos Music Library,EBSCO,Searches-federated and automated,NA,1985,7940,6706
